# CaO-SrO Pseudobinary Diagram (PARROT Optimized)
# column x: X(SR)   column y: T
# boundary = number of the continuous line
# phases: E = appears or disappears / F0 = fixed at zero amount
# CALCULATED = boundary obtained by common tangent (not exported from the MAP)
boundary,phases,X(SR),T
1,E:LIQUID + F0:HALITE#2,0.49,2891.7234098
1,E:LIQUID + F0:HALITE#2,0.490025,2891.6712074
1,E:LIQUID + F0:HALITE#2,0.49229545477,2886.9048163
1,E:LIQUID + F0:HALITE#2,0.49683636432,2877.2219976
1,E:LIQUID + F0:HALITE#2,0.49766198432,2875.4401808
1,E:LIQUID + F0:HALITE#2,0.49931322432,2871.8570565
1,E:LIQUID + F0:HALITE#2,0.4996134498,2871.2027978
1,E:LIQUID + F0:HALITE#2,0.49966803626,2871.08375
1,E:LIQUID + F0:HALITE#2,0.49977720917,2870.8455697
1,E:LIQUID + F0:HALITE#2,0.499995555,2870.3688711
1,E:LIQUID + F0:HALITE#2,0.49999916402,2870.360988
1,E:LIQUID + F0:HALITE#2,0.49999982021,2870.3595547
1,E:LIQUID + F0:HALITE#2,0.49999993952,2870.3592941
1,E:LIQUID + F0:HALITE#2,0.49999993952,2870.3592941
2,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.46559289996,800.0
2,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.46558058279,800.065
2,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.46558058279,800.065
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.46366030346,810.0
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.46364749101,810.065
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.44908715855,875.0
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.43035038009,940.0
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.40600300891,1005.0
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.39093287826,1037.5
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.37314825409,1070.0
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.35147792531,1102.5
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.33848562653,1118.75
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.32328541628,1135.0
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.30453602345,1151.25
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.30053118285,1154.2045458
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.29167482843,1160.1136373
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.26762881559,1171.9318203
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.25853790559,1174.8220239
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.24035608559,1178.0246492
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.22785608554,1177.9741704
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.20285608569,1163.9484356
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.1903560857,1149.0360456
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.1892197219,1147.395969
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.1869469944,1143.9965447
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.18240153941,1136.664114
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.17331062941,1119.7152318
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.15512880941,1076.3567367
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.14262880941,1038.9047883
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.14149244575,1035.1416711
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.13921971825,1027.5148603
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.13467426325,1011.5674182
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.12558335325,976.9371535
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.11649244324,938.49106377
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.10740153324,896.02736586
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.098310623283,849.39318015
3,E:LIQUID + F0:HALITE#1 + E:HALITE#2,0.093765168251,824.45344384
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.025263788981,800.0
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.025288788981,800.16966769
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.031532538981,839.1148977
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.044020038981,901.88638918
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.056507538981,951.40103596
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.068995038981,991.9523203
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.081482538981,1025.8730158
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.093970038982,1054.5927248
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.10645753898,1079.0592181
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.11894503898,1099.9363228
4,E:LIQUID + E:HALITE#1 + F0:HALITE#2,0.13143253898,1117.7079038
