# Diagrama Pseudobinario CaO-SrO (Optimizado PARROT)
# columna x: X(SR)   columna y: T
# frontera = numero de linea continua
# fases: E = aparece o desaparece / F0 = fijada en cantidad cero
# CALCULADO = frontera obtenida por tangente comun (no exportada del MAP)
frontera,fases,X(SR),T
1,E:FCC_A1 + F0:HALITE#1 + E:HALITE#2,0.46559289996,800.0
1,E:FCC_A1 + F0:HALITE#1 + E:HALITE#2,0.46558058279,800.065
1,E:FCC_A1 + F0:HALITE#1 + E:HALITE#2,0.4616957647,819.77796607
2,F0:BCC_A2 + E:FCC_A1 + F0:HALITE#1 + E:HALITE#2,0.028303584581,819.77796607
2,F0:BCC_A2 + E:FCC_A1 + F0:HALITE#1 + E:HALITE#2,0.4616957647,819.77796607
2,F0:BCC_A2 + E:FCC_A1 + F0:HALITE#1 + E:HALITE#2,0.4616957647,819.77796607
2,F0:BCC_A2 + E:FCC_A1 + F0:HALITE#1 + E:HALITE#2,0.4616957647,819.77796607
2,F0:BCC_A2 + E:FCC_A1 + F0:HALITE#1 + E:HALITE#2,0.4616957647,819.77796607
2,F0:BCC_A2 + E:FCC_A1 + F0:HALITE#1 + E:HALITE#2,0.028303584581,819.77796607
2,F0:BCC_A2 + E:FCC_A1 + F0:HALITE#1 + E:HALITE#2,0.028303584581,819.77796607
2,F0:BCC_A2 + E:FCC_A1 + F0:HALITE#1 + E:HALITE#2,0.028303584581,819.77796607
3,E:BCC_A2 + F0:FCC_A1 + E:HALITE#1,0.02830358458,819.77796607
3,E:BCC_A2 + F0:FCC_A1 + E:HALITE#1,0.019826439687,819.71296607
3,E:BCC_A2 + F0:FCC_A1 + E:HALITE#1,0.0073389396867,819.3341483
3,E:BCC_A2 + F0:FCC_A1 + E:HALITE#1,0.0010951896867,816.07638343
3,E:BCC_A2 + F0:FCC_A1 + E:HALITE#1,0.00070495531167,814.12976859
3,E:BCC_A2 + F0:FCC_A1 + E:HALITE#1,0.00050983812417,812.16863903
3,E:BCC_A2 + F0:FCC_A1 + E:HALITE#1,0.00031472093667,808.18301393
3,E:BCC_A2 + F0:FCC_A1 + E:HALITE#1,0.00028466886495,807.16840455
3,E:BCC_A2 + F0:FCC_A1 + E:HALITE#1,0.00023710373545,805.1391858
3,E:BCC_A2 + F0:FCC_A1 + E:HALITE#1,0.00017322688401,801.0807483
3,E:BCC_A2 + F0:FCC_A1 + E:HALITE#1,0.00016071336569,800.0
4,F0:BCC_A2 + E:FCC_A1 + E:HALITE#1,0.028303584573,819.77796607
4,F0:BCC_A2 + E:FCC_A1 + E:HALITE#1,0.019826439689,819.71296607
4,F0:BCC_A2 + E:FCC_A1 + E:HALITE#1,0.0073389396895,819.3341483
4,F0:BCC_A2 + E:FCC_A1 + E:HALITE#1,0.0010951896895,816.07638344
4,F0:BCC_A2 + E:FCC_A1 + E:HALITE#1,0.00070495531446,814.12976861
4,F0:BCC_A2 + E:FCC_A1 + E:HALITE#1,0.00050983812696,812.16863907
4,F0:BCC_A2 + E:FCC_A1 + E:HALITE#1,0.00031472093946,808.18301402
4,F0:BCC_A2 + E:FCC_A1 + E:HALITE#1,0.0002846688673,807.16840464
